"Date","GmvLS","Market"
2002-01-31,0.0352339970776172,-0.015974658
2002-02-28,0.0120284177254051,-0.021696493
2002-03-31,0.0412212820984217,0.044677947
2002-04-30,0.0251104555338457,-0.049618106
2002-05-31,-0.061809005736761,-0.010521097
2002-06-30,-0.0424083145174405,-0.070250921
2002-07-31,-0.0628764203351571,-0.081148878
2002-08-31,0.0892841433754024,0.007976094
2002-09-30,-0.0767123097537804,-0.099920064
2002-10-31,0.0574277254488946,0.074919313
2002-11-30,-0.0055327095644887,0.061262824
2002-12-31,-0.00613597005364264,-0.053315196
2003-01-31,-0.0325150562064341,-0.023399595
2003-02-28,-0.0108122629928269,-0.01539111
2003-03-31,0.00296847268239508,0.010318027
2003-04-30,0.0183882704546019,0.082749791
2003-05-31,0.0353431987365025,0.063436083
2003-06-30,-0.0046882057024118,0.016320212
2003-07-31,0.075073800146535,0.023098012
2003-08-31,0.0307116267159566,0.024996005
2003-09-30,-0.0297437757609933,-0.009116273
2003-10-31,0.0972110531547103,0.06031565
2003-11-30,0.0392645636105475,0.016593477
2003-12-31,0.043121932109879,0.045504838
2004-01-31,-0.050415173482582,0.023036605
2004-02-29,0.0577061960081566,0.015479187
2004-03-31,-0.0122914274942919,-0.010666593
2004-04-30,0.0346097618772088,-0.024213517
2004-05-31,-0.0330467369552802,0.014058482
2004-06-30,0.0543133335724741,0.021601019
2004-07-31,-0.0372422365953159,-0.037670456
2004-08-31,-0.0294322432133964,0.002727823
2004-09-30,0.0487861516491397,0.020542976
2004-10-31,0.00947733214372781,0.017805941
2004-11-30,0.107721495221225,0.048207968
2004-12-31,0.0415770320816684,0.035177134
2005-01-31,-0.0315809191249556,-0.026551347
2005-02-28,-0.00458020819307103,0.022675829
2005-03-31,0.00029893152796423,-0.016948491
2005-04-30,0.00512313161156364,-0.025184935
2005-05-31,0.0765258940699607,0.037954111
2005-06-30,0.0364384400209323,0.011525762
2005-07-31,0.0896177364890955,0.043335099
2005-08-31,-0.056134012214606,-0.00594371
2005-09-30,-0.0477774447734771,0.010607124
2005-10-31,-0.0389751122851144,-0.020873038
2005-11-30,0.109970392295947,0.040322334
2005-12-31,0.0195522648798179,0.003457065
2006-01-31,0.142228158220401,0.040040836
2006-02-28,0.0215722852723892,-0.001638789
2006-03-31,0.0151588951119455,0.019041877
2006-04-30,0.00291903543247574,0.012963295
2006-05-31,-0.0489971257854034,-0.031041438
2006-06-30,0.0499119949621349,-0.000388113
2006-07-31,-0.0663190287315585,-0.001874151
2006-08-31,0.051802563352418,0.025047904
2006-09-30,0.00149180919625325,0.019424381
2006-10-31,0.0387588915650332,0.037133273
2006-11-30,0.0366520419922114,0.023702424
2006-12-31,-0.00795218746906678,0.010855411
2007-01-31,0.0398877628372811,0.019396549
2007-02-28,0.00559753772655025,-0.013987673
2007-03-31,-0.00338230634347692,0.012949771
2007-04-30,-0.0361699116325567,0.039815255
2007-05-31,0.0200446881980092,0.038932189
2007-06-30,-0.0172494492993629,-0.014765383
2007-07-31,-0.091298250916435,-0.031760436
2007-08-31,0.0254237673445454,0.011630434
2007-09-30,-0.023127134099916,0.040841948
2007-10-31,0.00340880085037321,0.025796397
2007-11-30,-0.060859513000753,-0.049327374
2007-12-31,0.0665770663935015,-0.004423245
2008-01-31,-0.0522543416838719,-0.06213814
2008-02-29,-0.0661328420037292,-0.021663371
2008-03-31,0.0128384445434655,-0.010420538
2008-04-30,0.0589113007399364,0.051060483
2008-05-31,-0.0108719580084895,0.023807779
2008-06-30,-0.0933413075093925,-0.078425698
2008-07-31,0.185101632853027,-0.013341294
2008-08-31,0.0245647857928994,0.010565606
2008-09-30,-0.0618856641427932,-0.097980402
2008-10-31,-0.0975247087492235,-0.184647724
2008-11-30,0.0896947600985771,-0.084614687
2008-12-31,-0.1633150560863,0.022154151
2009-01-31,-0.0801219859366269,-0.077314697
2009-02-28,-0.0385227634080049,-0.100270644
2009-03-31,0.251648848159461,0.086747617
2009-04-30,0.0698017371556015,0.109352171
2009-05-31,0.0323269281623535,0.067774475
2009-06-30,0.0423834296294077,-0.003099177
2009-07-31,0.0593703056459065,0.08175195
2009-08-31,-0.016086078727413,0.031468544
2009-09-30,0.0296460398308982,0.045216348
2009-10-31,-0.0786524784712318,-0.027970955
2009-11-30,0.0631872551917378,0.057116978
2009-12-31,0.0692934020599962,0.028430393
2010-01-31,-0.0723679260820345,-0.037097517
2010-02-28,0.00345700588807851,0.034786142
2010-03-31,0.0293728984505801,0.063625872
2010-04-30,0.0788292091287506,0.020063344
2010-05-31,-0.051476518177492,-0.079163082
2010-06-30,-0.0851150201774341,-0.05074472
2010-07-31,0.104763368744644,0.070308603
2010-08-31,-0.00324803159901987,-0.042844076
2010-09-30,0.118949642684058,0.091546819
2010-10-31,0.0132776399714374,0.038512252
2010-11-30,0.0110085053109368,0.005124541
2010-12-31,0.0413458498156107,0.067205086
